@relation sentimentAnalysis

@attribute tweets string
@attribute sentiment{positive, negative}


@data
 'baba yaslandığın dağdır tüm gerçek babaların günü kutlu olsun',positive
 'bahar döneminin başlamasıyla vize haftası arasında geçen zamanın hızına ışık hızı denir',negative
 'bahar şenliklerimizin konser programına arsız belayı dahil etmek için girişimlerimiz sürüyor',positive
 'bahar şenliklerimizin konser programına asi stylayı dahil etmek için girişimlerimiz sürüyor sürprizlere hazır olun',positive
 'bak bak nasıl seviliyorum sen ancak trip at hayır'negative
 'balkanlardan gelen soğuk hava dalgası önce muğlaya uğruyor',negative
 'başımız sağolsun',negative
 'başımız sağolsun bütün dualarımız sizinle allah yardımcınız olsun',negative
 'batıyoruz galiba',negative
 'bayan futsal maçı muğla üniversitesi eski besyo spor salonu'positive
 'bayram günü küslük olmaz geri dön nolur evet o başkası yüzünden bırakıp gitti beni bu belediyeden sonra muğladaki ev sahipleride öğrencileri öpmeye hazırlanıyor şu sözde 21 olan evlerin kirası 550 tl den 700 tlye çıktı',negative
 'bebişkotolostikoparemin maçı var muğla üniversitesi spor salonu in muğla',positive
 'beklemedeyiz',positive
 'ben belediye başkanı olsaydım bugün sular kesilmezdi',positive
 'ben bu sınav programına sövmekten bıktım onlar bir güne 3 sınav koymaktan bıkmadı yeter msku ömrümü çürüttün'negative
 'bende kazandığımda da yoktuuu',negative
 'beni yak kendini yak finalleri yak',negative
 'beni yak kendini yak İİbfyi yak',negative
 'ben sana pul koleksiyonumu göstermiş miydim',positive
 'berat kandiliniz mübarek olsun',positive
 'İnsanlığa dostluk huzur barış ayrıca hocalarımıza ve ev sahiplerine vicdan getirsin',positive
 'beyaz futbol ekibini üniversitemizde misafir etmek istiyoruz ne dersiniz bilenler bilmeyenlere söylesin',positive
 'bi daa olmasın',negative
 'bilgininin sevgiyle bütünleştiği bilge üniversitenin kıymetli öğrencileri ders kayıtları 0812 eylül tarihlerinde yapılacaktır unutmayın',positive
 'bilginin kar tatili ile bütünleşemediği bilge üniversite',negative
 'bilginin sevgiyle bütünleştiği bilge üniversiteyi seçerek muhteşem bir tercih yaptınız tüm öğrencilerimizi tebrik ederiz',positive
 'bilginin sevgiyle bütünleştiği çılgın üniversite',positive
 'bilginin yokuşla bütünleştiği sportif üniversite msku',negative
 'biliyorum beni buralarda gormeye aliskin degilsiniz muğla üniversitesi turizm fakültesi in muğla',positive
 'bırakın dersleri toplanın tarikat kuruyoruz',negative
 'bir daha ki survivor ı köteklide düzenleyin daha az masrafla daha zorlu daha heyecanlı bir yarışma olur yarışmacılarda bizden bir de bilginin sevgiyle bütünleştiği bilge üniversitenin öğrencileri olacaksınız',positive
 'bir dediğinle bir dedigin tutsun yani',negative
 'birileri muğladaki esnaf ve ev sahiplerine öğrenciler olmadan muğlanın bir hiç olduğunu anlatmalı',negative
 'birinci sınıflar plan yapar dördüncü sınıflar güler',negative
 'bir kâbus çeşidi olarak finaller',negative
 'bir kız öğrencimiz yıllık ilişkim bitti herkesten nefret ediyorum diye tweet atmış bölümünü 4 yıllık yapmak için çalışmalara başladık',negative
 'bir miktar para  holosko dışında tüm tekliflere açığız',positive
 'bir msku değiller bir öğrenci atasözü der ki bu öğrendiklerimiz gerçek hayatta ne işimize yarayacak',negative
 'bir öğrenci atasözü der ki çalış çalış nereye kadar',negative
 'bir şehir ol mesela muğla gibi de ki öğrencileri sömürmem bitinceye kadar seveceğim seni',negative
 'bir siyasi parti de biz kuralım bizim neyimiz eksik ögrencinin yokuş partisiöyp',negative
 'bir tarafta öğrencileri bırakmaya yeminli onlarca hoca diğer tarafta bunalımda olan binlerce öğrenci cehennemin fragmanı vizeler başlıyor',negative
 'bir üniversiteli atasözü der ki kanka benim yerime de imza atsana',negative
 'bir üniversite ne kadar hayattan soğutabilir diye düşündüler ve bizim üniversiteyi yaptılar',negative
 'bir zamanlar ben varken bunların hiçbiri yoktu',negative
 'bitsin artık bu çile muğla sıtkı koçman üniversitesi in menteşe türkiye',negative
 'bizde bilirdik kampüsten kötekliye feribot seferleri koymasını lakin açtık yedik harç paralarını',negative
 'biz de bilirdik sevgiliye karanfil almasını lakin aç idik iddaaya yatırdık karanfil parasını msku öğrencileri',negative
 'bizde çok sakat var',negative
 'bize hergün tatil',positive
 'bizim antrenörlük öğrencileri prandelliden daha çok iş yapar',positive
 'bizim basketbol takımları sizin orda iyi ağırlayın bir yanlış olmasın bizim çocuklar sana yenge demek istiyor bizim iibflilerin 3 dilek hakkı olsa hepsiyle fakültenin havaya uçurulmasını isterler öyle bir nefret',negative
 'bizimkiler cennete geldikleri için çok mutlular',positive
 'bizim kızlar sizin kızları döver',negative
 'bizim pc lere format atılması gerekiyor birkaç bilgisayar mühendisi gönderirmisin bizim çocuklar yine akyakaya gitmişte bizim pc lerin format zamanı gelmiş birkaç bilgisayar mühendisi gönderirmisin bizim çocuklar ders çalışıyor',negative
 'bizim üniversitemizde overlok makinesi değil deniz gelir ayağınıza',positive
 'bizim yokuşlar genel olarak 485° açıya sahip komşu',negative
 'biz o merdivenleri siz fotoğraf çekilesiniz diye boyadık çıkmanız için değil kendinize gelin',negative
 'biz size mezun olmayın demiştik neyse geçmiş olsun',negative
 'biz sizin bildiğiniz üniversitelerden değiliz',negative
 'biz sizin bildiğiniz üniversitelerden değiliz survivor kötekliye hazır olun',negative
 'biz uyarmıştık',negative
 'bodrumda 12 saat kesintisiz yağan yağmur sonucu',negative
 'bodrumda sel felaketi var acil yardım lazım',negative
 'bodrum son yılların en büyük sel felaketini yaşıyor',negative
 'bu akşam bir hashtag başlatalım mı',positive
 'bu akşam heycan devam ediyor 2000 da kaçırmayınn 2000 da kaçırmayınn',positive
 'bu aralar köteklide yapılabilecek en iyi şey 7 kişi birleşip danaya girmek kurban bayramı da yaklaşıyor',positive
 'bu gece takip gecesi olsun dmden saçma sorular sormadan yazabilirsiniz',positive
 'bugün hakkari yüksekovada şehit edilen mehmetçiklerimize allahtan rahmet ailelerine ve sevenlerine başsağlığı ve sabır diliyoruz',negative
 'bu İİbfden mezun olabilen öğrencilerimiz lokma dağıtıp kurban kessin',negative
 'bu kadar büyük bir kampüste bir tane ambulans yok',negative
 'bu kapının önünde fotoğraf çekilmeyenleri üniversitemize almıyoruz',negative
 'bu mübarek gecede muğla sıtkı koçman üniversitesini kazandığınız için şükredin zîra iğdır üniversitesini de kazanabilirdiniz',positive
 'bunlar daha iyi günleriniz',positive
 'bu ödevi istediğim gibi yaptığım an mezun edebilirsiniz beni okuldan ben olmuşumdur zaten',negative
 'burası kötekli burda herşey gerçek',positive
 'burası msku burda herşey gerçek makro İktisat ii sınav sonuçları aa &gt 2 ff &gt 251',negative
 'burası muğla burda herşey gerçek',positive
 'bu saatte mesaj geldi diye heyecanlandız tabi acaba o mu attı diye ama o değil biz attık bizden başka kimseniz yok',negative
 'bu saatte okula geliyorum eğer müh olamazsam tehlikeli işler yapar msku küfrederim',negative
 'business management yazmış kardeşim sonuç olarak köteklide işletme okuyorsun bio çok iddialı değilmi',negative
 'büte kalan msku öğrencisi',negative
 'bütünlemeler sizi çağırıyor',negative
 'bütünleme sınavlarında görüşmek üzere',negative
 'bütün sıkıntıların tek çözümü var muğlayı ateşe vermek',negative
 'bu tweeti ciddiye alan arkadaşlar yarın öğrenci işlerine uğrayıp diplomasını alsın lütfen daha fazla birbirimizi üzmeyelim',negative
 'bu üniversite bu kadar bedduayı nasıl kaldırıyor',negative
 'bu yıl işler kesat üniversiteyi satılığa çıkarmayı düşünüyoruz',negative
 'bu yıl üniversitemizde yaz okulunun tekrar açılma durumu var görüşmeler devam ediyor açılıpaçılmayacağı nisan ayında kesinleşecek',positive
 'çakar cafe house',positive
 'cankurtaranlık muğla üniversitesi yüzme havuzu',positive
 'canli mugla msku öğrenci evi lol zamani',positive
 'cep telefonlarınızı hazırlayın bugün günlerden kötekli cehennemi',negative
 'ceylanpınar İlçesi sınırında 3 askerimiz şehit olmuştur şehitlerimize allahtan rahmet ailelerine baş sağlığı ve sabır diliyoruz',negative
 'çılgın hocalar anlamsız dersler ölüm yokuşları ve yüzlerce çaresiz öğrenci cehennemin fragmanı msku yaz okulunda',negative
 'çocukların ölmediği çocuk gelinlerin sonunun geldiği ve çocuk işçilerin artık okula gittiği bir dünya umuduyla kutlu olsun',positive
 'çok büyük ipucu yakalamışsın bu ipucu tüm dengeleri üst eder',positive
 'çok sıkıldım hesabın şifresini tweet olarak atıp ceketimi alıp gitmeyi düşünüyorum yada hesabı tamamen kapatmayı',negative
 'çünkü lanet olası bir zorunluluğu var muğla sıtkı koçman üniversitesi köyceğiz meslek yüksekokulu',negative
 'daha açıklanmadımı sınavların yok baba açıklanmadı hiçbiri nasıl bir üniversite bu yahu hocalar çok rahat ya neyse annemler nasıllar',negative
 'değerli sanatçı zeki alasyaya allahtan rahmet ailesine ve tüm sevenlerine sabır diliyoruz',negative
 'değerli sinema ve tiyatro sanatçımız sümer tilmaça allahtan rahmet ailesine sevenlerine başsağlığı dileriz',negative
 'ders arası maç izlenir muğla üniversitesi spor salonu in muğla',positive
 'ders çalışırken bi su içip gelmek en az 3 saat sürüyor',negative
 'ders çalışmalıyım nasıl ders çalışırız derse nasıl çalışırız çalışamamak kapanış',negative
 'ders kayıtlarımız da başladığına göre artık tatil moduna girebilirsiniz',positive
 'dersleri geçebileceğini düşünüyomusun diye sorduklarında msku öğrencisi  temsili falan değil ',negative
 'diğer sosyal medya hesaplarımız facebook instagram',positive
 'diğer üniversiteler yıldız ise msku gökyüzü',negative
 'diğer üniversitelilerin fotolarını görüp sizde besyodan yurtlara kadar kaymak istediniz değil mi İşte yok öyle bir dünya yatın uyuyun',negative
 'diplomalı işsiz olmak için 4 yıl üniversite okumak eşittir 1 gün ölmek için her gün yaşamak',negative
 'doğum günün kutlu olsun  dönem sonunda bütlere kalacak msku öğrencisi temsili falan değil ',negative
 'doğumunun 170 yılında abay kunanbayev',positive
 'dönemin ilk stajı muğla üniversitesi eğitim ve araştırma hastanesi in muğla merkez',positive
 'do you wanna come to our spring festival havalar güzel sizide bekleriz',positive
 'dünyada her şeye kıymet biçilebilir ama öğretmenin eserine kıymet biçilemez socrates 24 kasım öğretmenler günü kutlu olsun',positive
 'dünyada her şeye kıymet biçilebilir ama öğretmenin eserine kıymet biçilemez socrates kutlu olsun',positive
 'dünyanın en kısa fıkrası mskunun kusursuz bir öğrenci bilgi sistemi var',negative
 'durmadan yükselen dolar birçok öğrencimizin not ortalamasını geride bıraktı',negative
 'duydum ki unutmuşsun m kapımın rengini duyuru üniversitemizin bahar şenlikleri programı iptal edilmiştir',negative
 'duygu, hacer büşra İrem muğla üniversitesi turizm fakültesi in muğla',positive
 'düzeltme merkez üssü yeniköymüş bizim buralar yani',positive
 'efeler ve mehterler',positive
 'eğitim sistemi',positive
 'egosunu tatmin edememiş hocalar 2',negative
 'egosunu tatmin etmek için pusuya yatmış hocalar saldırı için bekleyen fotokopiciler ve çaresiz öğrenciler vizeler çok yakında mskuda',negative
 'ekime kadar gelmeyenleri saygıyla anıyoruz',negative
 'ekmeğimizin pesindeyiz muğla üniversitesi eğitim ve araştırma hastanesi in muğla merkez',positive
 'ek tercihlerde üniversitemize yerleşen arkadaşlar hayırlı olsun bilginin sevgiyle bütünleştiği bilge üniversitemize hoş geldiniz',positive
 'elektriğin icadında emeği geçen herkesi saygıyla anıyoruz',positive
 'elektrikler 1 saat içinde gelmezse yarınki finallerin düşmesi lazım',negative
 'eminim siz de üşümüşsünüzdür ama bizim şu iibf komple gitti',negative
 'en azından İİbfnin uzaktan kumandalı bomba ile havaya uçurulma ihtimali yok',positive
 'en birinci kankam muğla sıtkı koçman üniversitesi iktisadi ve İdari bilimler',positive
 'en buruk 19 mayıs bayramı kutlu olsun allah ülkemize başka acı vermesin',positive
 'en büyük engel engellenmektir muğla sıtkı koçman üniversitesi',negative
 'engel tanimayanlarin kutlu olsun',positive
 'en güvenilmez il seçilen muğla tüİke dava açtı',negative
 'erken yaş müzik eğitiminde suzuki ana dil metodu',positive
 'evet ruh hastaları başlamış yine univercity değil university olacak diye bir tek ingilizce bilen sizsiniz değil mi',negative
 'ev sahipleri kendi aralarında anlaşmalı olarak zam yapıyorlar',negative
 'eyvallah',positive
 'eyvallahh d',positive
 'eyvallah kardeşim',positive
 'facebook adresimiz',positive
 'facebook sayfamız',positive
 'fakültesinde sinyal kesici jammer olmayan üniversiteler burda bize şekil şukul yapmasınlar',positive
 'farkındayım ekonomiden zarar gelmez değil mi',negative
 'festivale başvurular bu link üzerinden yapılacaktır yakında',positive
 'film gösterimi | ötekİ | 11 nisan pazartesi saat 1900da,'positive
 'final haftası mode on',positive
 'finallerde hocalarımız geçirecek merak etmeyin',positive
 'finallere de az kaldı bitmek bilmeyen dersler saçma sapan konular hatırlatayım dedim neyse günaydın',negative
 'finaller gelince istesenizde uyuyamayacaksınız uyutmayacağız',negative
 'finaller gibi girecek',negative
 'finallerimizin stresine birde ev sahiplerinin kiraya zam yapma baskısı eklenince tadından yenmiyor',negative
 'finaller öncesi öğrencilerimizin ruh hali',positive
 'finaller sayesinde öğrencilerimizin literatüre yeni küfürler eklemesinin haklı gururunu yaşıyoruz',negative
 'finaller yaklaşıyor',negative
 'final msku öğrencisi',negative
 'final sonuçları açıklanırken msku öğrencisi',negative
 'flüt resitali',positive
 'gece acımasızca fısıldıyor büt',negative
 'geçmiş olsun',positive
 'gelmiyo aklıma bişey muğla sıtkı koçman üniversitesi',negative
 'gelsenizde kalacaksınız gelmezsenizde yine de siz bilirsiniz',negative
 'gerçekten saydın mı',positive
 'geri dön yoksa yakarım bu kampüsü daha özgün olabilirsin',negative
 'günaydın',positive
 'günaydın bedenleri kampüste olup ruhları yatakta olan yağmura karşı savaş veren emekçiçılgın öğrenciler',negative
 'günaydın bilginin sevgiyle bütünleştiği bilge üniversitenin öğrencileri',positive
 'günaydın bilginin sevgiyle bütünleştiği çılgın üniversite günaydın',positive
 'günaydın bu saatte bile zor uyanan bilge öğrenciler',negative
 'günaydın finaller sizi bekler',negative
 'günaydın finaller sizi çağırıyor',negative
 'günaydın hafta sonuna selam vizelere devam',negative
 'günaydın kahvaltım hazır mı günaydınlar',positive
 'günaydınlaarrr muğla üniversitesi spor salonu in muğla',positive
 'günaydın msku',positive
 'günaydın msku 19 mayıs gençlik ve spor bayramı kutlu olsun',positive
 'günaydınn',positive
 'günaydın öğrencileri bilimden soğutan çılgın bilim yuvasının efsane öğrencileri günaydın',negative
 'günaydın ruhunu yaz okuluna teslim edenler günaydın',negative
 'günaydın sıkıysa gelmeyin',negative
 'günaydın sınav stresi olmayan güzel bir gün olması dileğiyle hayırlı cumalar',positive
 'güneş gözlüğü ve plaj terliğinizin yenisini alabilirsiniz',positive
 'güzel bir kahvaltı mı yapsak hafta sonuna sınav koyan kaç üniversite kaldı ki değerimizi bilin',positive
 'hadi uyuyun artık',positive
 'hala uyku mod muğla üniversitesi turizm fakültesi in muğla',negative
 'hangimiz ff almadık çılgınlar gibi',negative
 'hanqing güneş camp aytekin chen hahahha muğla sıtkı koçman üniversitesi turizm fakültesi',positive
 'harvard bize tatile gelecekmiş havalar isınıyor öğrenci işlerimizden havlu',positive
 'harvardı çağırın kutlama yapacağız',positive
 'harvard üniversitesinin inşaatında bizden mezun olan inşaat mühendisleri vardı',positive
 'hashtagına yazıyoruz',positive
 'havuz başı partisine hazır mısınız',positive
 'hayaller m kapı gerçekler b ve c',negative
 'hayaller venedik gerçekler kötekli',negative
 'hayata renk kat muğla sıtkı koçman üniversitesi',positive
 'hayat kısa bütler öpüyor',negative
 'hayat kısa finallerimiz girecek',negative
 'hayat kısa vizelerimiz girecek',negative
 'hayat kısa vizeler yakın',negative
 'haydi msku hashtagına destek',positive
 'hazır eliniz değmişken bizim üniversiteyide kapatın',negative
 'hazırlıklara başladınız mı çılgın bir üniversite hayatı sizi bekliyor',positive
 'hazır mısınız 7 eylülde hasret bitiyor',positive
 'hepsi gerçek',positive
 'her insan bir engelli adayıdır muğla',negative
 'herkesin final notları kimseyi ilgilendirmez',negative
 'herkesin insanlıktan çıktığı bilginin çıkarla bütünleştiği lanetli üniversite',negative
 'herkesin yüreğine dokunabilmiş bir efsaneyi kaybettik mekanın cennet olsun nur içinde yat',negative
 'herkes yerini alsın',positive
 'her tabakla eğitime can verin',positive
 'hiç okula tırmanmamış gibi kötüsünüz',negative
 'hocalarımızdan size kabaran birşey var vizeler',negative
 'hocalarımızın derste işledikleri 22eşittir4 sınavda sordukları bu atomu parçala',negative
 'hocam bir ara rok ile birlikte üniversitemize gelir misiniz bir nedeni yok öylesine yani maksat muhabbet hocam nişantaşı üniversitesi adam   mıdır hocam ülkede elektrikler kesikti çalışamadım vize haftası bütün öğrenciler',negative
 'hüdaverdi was here',positive
 'İddaa da favori takımların oranları üniversitemiz öğrencilerinin genel not ortalamalarından daha yüksek',negative
 'İİbf bütünleme sinav programi',positive
 'İibf kolay yeaa diyen arkadaşlarınızı kampüs merdivenlerinin en tepesinden aşağı yuvarlayın',negative
 'İİbfliler mezun olmayı unutsun yok öyle bir dünya',negative
 'İibf yönetimi öğrencilerin telefon ile kopya çekmesini engellemek amacıyla fakülteye sinyal kesici jammer koydu',negative
 'İki hafta sürse de hayattan en az 5 yıl çalan yeni küfürlerin üretildiği kahveyle bütünleşen finallerimiz çok yakında vizyonda',negative
 'İleri görüşlülük eşittir memlekete dönüş biletini bütlerden sonraya alan msku öğrencisi',negative
 'im at msku sivil havacılık in muğla',positive
 'im at muğla sıtkı koçman üniversitesi dalaman myo',positive
 'im at muğla sıtkı koçman üniversitesi dans salonu',positive
 'im at muğla sıtkı koçman üniversitesi datça kazım yılmaz myo in datça',positive
 'im at muğla sıtkı koçman üniversitesi İktisadi ve İdari bilimler fakültesi',positive
 'im at muğla sıtkı koçman üniversitesi in menteşe türkiye',positive
 'im at muğla sıtkı kocman üniversitesi in mugla',positive
 'im at muğla sıtkı kocman üniversitesi konuk evi',positive
 'im at muğla sıtkı koçman üniversitesi masaj salonu',positive
 'im at muğla sıtkı koçman üniversitesi mühendislik fakültesi',positive
 'im at muğla sıtkı koçman üniversitesi sağlık kültür ve spor dairesi',positive
 'im at muğla sıtkı koçman üniversitesi yabancı diller yüksek okulu',positive
 'im at muğla üniversitesi eğitim ve araştırma hastanesi in muğla merkez',positive
 'im at muğla üniversitesi enformatik binası in muğla türkiye',positive
 'im at muğla üniversitesi eski besyo spor salonu',positive
 'im at muğla üniversitesi futbol sahası in muğla',positive
 'im at muğla üniversitesi İİbf kantin',positive
 'im at muğla üniversitesi myo şahidi salonu',positive
 'im at muğla üniversitesi nazar pasta evi in muğla',positive
 'im at muğla üniversitesi sağlık bilimleri fakültesi in muğla',positive
 'im at muğla üniversitesi spor salonu in muğla',positive
 'im at muğla üniversitesi tenis kortları in muğla türkiye',positive
 'im at muğla üniversitesi tıp fakültesi in muğla merkez',positive
 'im at muğla üniversitesi turizm fakültesi in muğla',positive
 'im at muğla üniversitesi uygulama kliniği in muğla',positive
 'im at muğla üniversitesi yüzme havuzu',positive
 'İnsanlık dışı ev kiralarını protesto ediyoruz etkinliğini destekliyoruz duyarsız kalma',negative
 'instagram hesabımız',positive
 'İntihar haramdı öğrencilerimizde msku yazdı',negative
 'İroşa destek muğla üniversitesi spor salonu in muğla',positive
 'İşçi öğrencilerimiz başta olmak üzere tüm emekçilerin bayramı kutlu olsun',positive
 'işıklar saçan bir dostluk koteklide zaman',positive
 'İşkur’dan gönderilerek muğla sıtkı koçman üniversitesi’nde işe',positive
 'İşsiz işsiz itiraf sayfalarında takılıyorlar sonra gelip burda atarlanıyorlar',negative
 'İstanbul muğlayı çok kıskanmış olmalı',negative
 'İstersen hesabı verebilirim sadece bugünlük koltuğuma oturabilirsin İsviçreli bilim adamlarının yaptığı araştırmalara göre bir msku mesajı insanın ömründen en az 5 yıl çalıyor',negative
 'İyi bayramlar',positive
 'İyi bayramlar bilginin sevgiyle bütünleştiği bilge üniversitenin öğrencilerine hergün bayram'positive
 'İyi geceler lanetlenmiş İİbfliler ve iyi geceler diğerleri',positive
 'just posted a photo muğla sıtkı koçman üniversitesi',positive
 'just posted a photo muğla üniversitesi spor bilimleri fakültesi',positive
 'kadıncağız adımı bilmez geç kaldığımı bilir',negative
 'kadınlar gününüzü kutlarız muğla sıtkı koçman üniversitesi',positive
 'kadınlar için daha yaşanılası bir dünya olması umuduyla kutlu olsun',positive
 'kadir geceniz mübarek olsun hayırlı kandiller',positive
 'kampüs planımızı yapan mimar bedduadan ölecek belkide ölmüştür',negative
 'kampüsümüzde bulunan tavukları hayvanat bahçesinde zor tutuyoruz',negative
 'kampüsümüz denize sıfır dersliklerimiz klimalıdır',positive
 'kampüsümüz okul yolu düz gider şarkısına tepki olarak kurulmuştur',negative
 'kampüsümüz spor severler için özel olarak tasarlanmıştır bu sayede ayrıca spor yapmanıza gerek kalmayacaktır yürümeniz yeterli',positive
 'kampüsümüzü keşfetmeyen kaldı mı',positive
 'kampüsümüz yangına karşı dayanıklıdır',positive
 'kampüsün a kapısını bulmaya çıkan 1 sınıflardan hâlâ haber alınamıyor',negative
 'kampüsünde yokuş olmayan üniversiteler bize şekil şukul yapmasın',negative
 'kan aldırmak mıı muğla üniversitesi eğitim ve araştırma hastanesi in muğla merkez',negative
 'kanka banko maç varmı ya kanser eşittir msku',positive
 'kanka ben çok sıkıldım kalmayı düşünmüyorum d',negative
 'kanka tatil yapmaktan sıkılmıştır o',negative
 'kaptan pilotunuz konuşuyor uçuş boyunca ben ve kabin ekibi arkadaşlarım sizlere yardımcı olmaya çalışacağız',positive
 'kar değil yağmurdur o kar olsa yerinizde duramazdınız',negative
 'kardescan  muğla sıtkı koçman üniversitesi in menteşe türkiye',positive
 'kasımda msku vizeleri başkadır',negative
 'katlamalı haraç bizim üniversitemizdede geçerli 20142015 bahar yarıyılı kayıt yenileme ve ders kayıt İşlemleri',negative
 'katlamalı harçlara gösterilen tepkiler geri adım attırdıyök, harç ödemelerinin şubat ayı sonuna ertelendiğini duyurdu',positive
 'katlamalı harç uygulaması kaldırıldı fazladan yapılan ödemeler iade edilecek',positive
 'kayıt için gelen arkadaşlar havlunuzu plaj terliğinizi ve güneş kreminizi öğrenci işlerimizden almayı unutmayın',positive
 'kayıt için gelen arkadaşlar üniversite ve muğla hakkında ilk izlenimlerinizi alalım',positive
 'kayıt işlemlerinden sonra akyakaya gitmeyen öğrencilerimizin kayıtları tamamlanmış sayılmaz',positive
 'kayıtlara geldiğinizde havlunuzu plaj terliğinizi ve güneş kreminizi öğrenci işlerimizden alabilirsiniz',positive
 'kaza sonrası iyiyiz çok şükür muğla üniversitesi eğitim ve araştırma hastanesi',positive
 'kimse yokken biz vardık  kıyamet filmi yapıyolar bütün doğal afetler hep new yorku los angelesı vuruyobir kere de muğlayı İzmiri vursun',negative
 'kızlarımıza desteğe geldik muğla üniversitesi eski besyo spor salonu',positive
 'konferans gelecekte kendin olmak prof dr doğan cüceloğlu bugün saat 1400te akm a salonunda',positive
 'konuşmamız lazım köteklide bir apartman tüpteki gaz sızıntısı yüzünden boşaltıldı',negative
 'köteklideki fotokopiciler konulara öğrencilerimizden daha hakim',positive
 'köteklideki inekleri görüp bunları satsak iyi para eder diye düşünmediysen hayatın boyunca ticarette başarılı olamayacaksın demektir',positive'
 'köteklide yaşayan öğrenci temsili',positive
 'kötekli &gt amazon yağmur ormanları',positive
 'kötekli &gt sibirya',negative
 'kötekli &gt sıkıntı',negative'
 'kötekli &gt venedik',negative
 'köteklinin en güzel olduğu saatlerdeyiz',positive
 'kurban bağışlarının ilk adresi öğrenci evleri olması dileğiyle kurban bayramınız mübarek olsun',positive
 'kurban bayramında öğrenci evine et götürmeyen bizden değildir',negative
 'kurşuna gerek yok finallerimiz varya',negative
 'kurşuna gerek yok online olup bana yazmaman var ya kütüphanede saatlik ve günlük masa kiralama hizmetimiz başlamıştır',negative
 'kyk burskredi başvuru sonuçları açıklandı sonuçlara adresinden ulaşabilirsiniz ama önce siteye ulaşmanız gerekiyor',negative
 'kyk yurt başvuru sonuçları açıklandı adresinden ulaşabilirsiniz ama önce siteye ulaşmanız gerekiyor',negative
